league_slug,team_name,player_name,first_name,last_name,position,nationality,age,photo_url,price,external_player_id
premier-league,"Arsenal","David Keeper (Arsenal)","David","Keeper (Arsenal)",GK,"Spain",28,"",6.5,pl_1_p1
premier-league,"Arsenal","Marco Defender (Arsenal)","Marco","Defender (Arsenal)",DEF,"Brazil",25,"",7.9,pl_1_p2
premier-league,"Arsenal","Lucas Back (Arsenal)","Lucas","Back (Arsenal)",DEF,"France",26,"",7.1,pl_1_p3
premier-league,"Arsenal","Matteo Midfielder (Arsenal)","Matteo","Midfielder (Arsenal)",MID,"Italy",24,"",8.3,pl_1_p4
premier-league,"Arsenal","Gabriel Playmaker (Arsenal)","Gabriel","Playmaker (Arsenal)",MID,"Argentina",27,"",7.5,pl_1_p5
premier-league,"Arsenal","Alex Striker (Arsenal)","Alex","Striker (Arsenal)",FWD,"England",22,"",8.7,pl_1_p6
premier-league,"Arsenal","Carlos Goal (Arsenal)","Carlos","Goal (Arsenal)",FWD,"Spain",29,"",7.9,pl_1_p7
premier-league,"Aston Villa","David Keeper (Aston Villa)","David","Keeper (Aston Villa)",GK,"Spain",28,"",5.8,pl_2_p1
premier-league,"Aston Villa","Marco Defender (Aston Villa)","Marco","Defender (Aston Villa)",DEF,"Brazil",25,"",5.5,pl_2_p2
premier-league,"Aston Villa","Lucas Back (Aston Villa)","Lucas","Back (Aston Villa)",DEF,"France",26,"",6.2,pl_2_p3
premier-league,"Aston Villa","Matteo Midfielder (Aston Villa)","Matteo","Midfielder (Aston Villa)",MID,"Italy",24,"",5.9,pl_2_p4
premier-league,"Aston Villa","Gabriel Playmaker (Aston Villa)","Gabriel","Playmaker (Aston Villa)",MID,"Argentina",27,"",6.6,pl_2_p5
premier-league,"Aston Villa","Alex Striker (Aston Villa)","Alex","Striker (Aston Villa)",FWD,"England",22,"",6.3,pl_2_p6
premier-league,"Aston Villa","Carlos Goal (Aston Villa)","Carlos","Goal (Aston Villa)",FWD,"Spain",29,"",7.0,pl_2_p7
premier-league,"Bournemouth","David Keeper (Bournemouth)","David","Keeper (Bournemouth)",GK,"Spain",28,"",3.5,pl_3_p1
premier-league,"Bournemouth","Marco Defender (Bournemouth)","Marco","Defender (Bournemouth)",DEF,"Brazil",25,"",4.7,pl_3_p2
premier-league,"Bournemouth","Lucas Back (Bournemouth)","Lucas","Back (Bournemouth)",DEF,"France",26,"",5.4,pl_3_p3
premier-league,"Bournemouth","Matteo Midfielder (Bournemouth)","Matteo","Midfielder (Bournemouth)",MID,"Italy",24,"",5.1,pl_3_p4
premier-league,"Bournemouth","Gabriel Playmaker (Bournemouth)","Gabriel","Playmaker (Bournemouth)",MID,"Argentina",27,"",5.8,pl_3_p5
premier-league,"Bournemouth","Alex Striker (Bournemouth)","Alex","Striker (Bournemouth)",FWD,"England",22,"",5.5,pl_3_p6
premier-league,"Bournemouth","Carlos Goal (Bournemouth)","Carlos","Goal (Bournemouth)",FWD,"Spain",29,"",6.2,pl_3_p7
premier-league,"Brentford","David Keeper (Brentford)","David","Keeper (Brentford)",GK,"Spain",28,"",3.9,pl_4_p1
